Row ID,Order Date,Customer ID,Segment,Region,Category,Sales,Quantity,Profit
1,09-11-2013,CG-12520,Consumer,South,Furniture,261.96,2,41.9136
2,09-11-2013,CG-12520,Consumer,South,Furniture,731.94,3,219.582
3,13-06-2013,DV-13045,Corporate,West,Office Supplies,14.62,2,6.8714
4,11-10-2012,SO-20335,Consumer,South,Furniture,957.5775,5,-383.031
5,11-10-2012,SO-20335,Consumer,South,Office Supplies,22.368,2,2.5164
6,09-06-2011,BH-11710,Consumer,West,Furniture,48.86,7,14.1694
7,09-06-2011,BH-11710,Consumer,West,Office Supplies,7.28,4,1.9656
8,09-06-2011,BH-11710,Consumer,West,Technology,907.152,6,90.7152
9,09-06-2011,BH-11710,Consumer,West,Office Supplies,18.504,3,5.7825
10,09-06-2011,BH-11710,Consumer,West,Office Supplies,114.9,5,34.47
11,09-06-2011,BH-11710,Consumer,West,Furniture,1706.184,9,85.3092
12,09-06-2011,BH-11710,Consumer,West,Technology,911.424,4,68.3568
13,16-04-2014,AA-10480,Consumer,South,Office Supplies,15.552,3,5.4432
14,06-12-2013,IM-15070,Consumer,West,Office Supplies,407.976,3,132.5922
15,22-11-2012,HP-14815,Home Office,Central,Office Supplies,68.81,5,-123.858
16,22-11-2012,HP-14815,Home Office,Central,Office Supplies,2.544,3,-3.816
17,11-11-2011,PK-19075,Consumer,Central,Office Supplies,665.88,6,13.3176
18,13-05-2011,AG-10270,Consumer,West,Office Supplies,55.5,2,9.99
19,27-08-2011,ZD-21925,Consumer,West,Office Supplies,8.56,2,2.4824
20,27-08-2011,ZD-21925,Consumer,West,Technology,213.48,3,16.011
21,27-08-2011,ZD-21925,Consumer,West,Office Supplies,22.72,4,7.384
22,10-12-2013,KB-16585,Corporate,Central,Office Supplies,19.46,7,5.0596
23,10-12-2013,KB-16585,Corporate,Central,Office Supplies,60.34,7,15.6884
24,17-07-2014,SF-20065,Consumer,East,Furniture,71.372,2,-1.0196
25,25-09-2012,EB-13870,Consumer,West,Furniture,1044.63,3,240.2649
26,16-01-2013,EH-13945,Consumer,West,Office Supplies,11.648,2,4.2224
27,16-01-2013,EH-13945,Consumer,West,Technology,90.57,3,11.7741
28,17-09-2012,TB-21520,Consumer,East,Furniture,3083.43,7,-1665.0522
29,17-09-2012,TB-21520,Consumer,East,Office Supplies,9.618,2,-7.0532
30,17-09-2012,TB-21520,Consumer,East,Furniture,124.2,3,15.525
31,17-09-2012,TB-21520,Consumer,East,Office Supplies,3.264,2,1.1016
32,17-09-2012,TB-21520,Consumer,East,Office Supplies,86.304,6,9.7092
33,17-09-2012,TB-21520,Consumer,East,Office Supplies,6.858,6,-5.715
34,17-09-2012,TB-21520,Consumer,East,Office Supplies,15.76,2,3.546
35,20-10-2014,MA-17560,Home Office,Central,Office Supplies,29.472,3,9.9468
36,09-12-2013,GH-14485,Corporate,Central,Technology,1097.544,7,123.4737
37,09-12-2013,GH-14485,Corporate,Central,Furniture,190.92,5,-147.963
38,27-12-2012,SN-20710,Home Office,Central,Office Supplies,113.328,9,35.415
39,27-12-2012,SN-20710,Home Office,Central,Furniture,532.3992,3,-46.9764
40,27-12-2012,SN-20710,Home Office,Central,Furniture,212.058,3,-15.147
41,27-12-2012,SN-20710,Home Office,Central,Technology,371.168,4,41.7564
42,11-09-2014,LC-16930,Corporate,Central,Technology,147.168,4,16.5564
43,18-07-2013,RA-19885,Corporate,West,Office Supplies,77.88,2,3.894
44,20-09-2014,ES-14080,Corporate,South,Office Supplies,95.616,2,9.5616
45,12-03-2013,ON-18715,Corporate,Central,Technology,45.98,2,19.7714
46,12-03-2013,ON-18715,Corporate,Central,Office Supplies,17.46,2,8.2062
47,20-10-2011,PO-18865,Consumer,Central,Office Supplies,211.96,4,8.4784
48,21-06-2013,LH-16900,Consumer,East,Technology,45,3,4.95
49,21-06-2013,LH-16900,Consumer,East,Technology,21.8,2,6.104
50,18-04-2012,DP-13000,Consumer,Central,Office Supplies,38.22,6,17.9634
51,18-04-2012,DP-13000,Consumer,Central,Office Supplies,75.18,6,35.3346
52,18-04-2012,DP-13000,Consumer,Central,Furniture,6.16,2,2.9568
53,18-04-2012,DP-13000,Consumer,Central,Furniture,89.99,1,17.0981
54,12-12-2013,JM-15265,Corporate,East,Office Supplies,15.26,7,6.2566
55,12-12-2013,JM-15265,Corporate,East,Technology,1029.95,5,298.6855
56,18-06-2013,TB-21055,Consumer,East,Office Supplies,208.56,6,52.14
57,18-06-2013,TB-21055,Consumer,East,Office Supplies,32.4,5,15.552
58,18-06-2013,TB-21055,Consumer,East,Furniture,319.41,5,7.098
59,18-06-2013,TB-21055,Consumer,East,Office Supplies,14.56,2,6.9888
